BAIRRO,DISTANCIA_URCA
copacabana,2.59
tijuca,7.39
pechincha,19.22
vila itamarati,18.45
pavuna,25.14
freguesia,17.93
engenho da rainha,16.4
curicica,22.49
vila guanabara,
botafogo,1.37
flamengo,2.33
anchieta,27.79
barreto,12.06
vila isabel,9.45
andarai,9.2
praca da ponte,
bonsucesso,13.11
centro,23.57
rocha miranda,21.6
barra da tijuca,20.93
campo grande,40.52
praca seca,19.91
meier,12.84
silveira,348.14
lins de vasconcelos,12.73
jacarepagua,20.9
cachambi,13.03
itapeba,33.66
sao conrado,11.01
joao pinheiro,345.83
penha,16.99
rocha,10.26
jardim campomar,131.32
grajau,10.5
humaita,3.33
iraja,20.68
recreio dos bandeirantes,31.12
laranjeiras,2.99
bancarios,18.02
ilha do governador,17.37
coelho neto,23.06
vila da penha,19.04
senador vasconcelos,37.59
rio comprido,5.09
colegio,21.37
inhoaiba,43.86
bento ferreira,416.01
urca,0.0
queimados,47.75
engenho de dentro,14.39
engenho novo,11.39
rocinha,9.01
caju,9.84
bras de pina,18.98
vicente de carvalho,18.58
alto da boa vista,8.82
honorio fraga,458.79
inhauma,14.87
mare,13.0
bangu,31.68
portuguesa,17.53
gloria,4.01
olaria,96.6
quintino bocaiuva,17.39
cosme velho,3.63
jardim gramacho,24.95
padre miguel,29.97
guaratiba,42.95
ipanema,4.83
realengo,28.2
abolicao,15.48
santa teresa,4.05
santa cruz,53.03
taquara,22.51
vila nova (surui),
vila brasil,31.03
pilares,15.5
estacio,5.53
chacaras rio-petropolis,
jardim excelsior,
neopolis,2074.84
cidade nova,348.3
sao francisco da praia,6.54
catete,3.26
quitandinha,47.51
higienopolis,13.06
ramos,14.44
itanhanga,14.51
icarai,8.44
laranjal,107.11
cohama,2264.45
calhau,2267.14
benfica,10.1
parque ipiranga,
leblon,6.69
maracana,7.97
jardim botanico,5.78
jardim guanabara,16.0
praca da bandeira,6.64
jardim america,22.55
sao cristovao,8.21
anil,17.48
maria da graca,12.6
bairro das gracas,31.99
parque anchieta,28.62
taua,17.42
bento ribeiro,22.03
sepetiba,53.98
piratininga,10.37
nossa senhora das gracas,107.39
santa terezinha,
penha circular,17.98
vila kosmos,17.78
vila leopoldina,26.06
sao francisco xavier,9.52
raul veiga,22.53
jardim carioca,16.68
santo cristo,6.93
encantado,15.32
gamboa,6.74
cosmorama,31.23
glaucia,28.81
todos os santos,13.7
cascadura,18.19
plante cafe,
tomas coelho,17.1
rio de janeiro,6.39
lagoa,3.66
riachuelo,10.6
sao bras,
desconhecido,14.68
santa rosa,9.59
recreio dos bandeirantes dos bandeirantes,31.12
vila isabell,
brás de pina,18.98
laranjeirass,
coelho neto neto,23.06
humaitá,3.33
fonseca,11.6
barra da tijuca da tijuca,26.52
cosme velhoo,
vila valqueire,21.55
santissimo,37.14
gavea,7.82
freguesia/jacarepagua,17.93
parada 40,17.18
del castilho,13.52
jardim olavo bilac,26.28
grajaú,10.5
alto da boa vista da boa vista,4.36
praça seca,19.91
pitangueiras,15.22
tanque - jacarepagua,
madureira,19.61
morin,48.46
monero,17.71
colubande,20.17
jardim sulacap,23.97
mutua,20.31
coelho neto da rocha,
jardim rosario,
eden,29.35
fazendinha,76.54
ouro verde,39.45
da luz,37.88
leme,0.85
piquet,
centenario,24.93
jacare,11.37
ibes,
fatima,105.11
jardim meriti,28.47
pinheiros,367.92
lindo parque,17.54
parque sao vicente,
inhaúma,14.87
tomas coelho neto,
tiradentes,228.31
village sao roque,
tanque-jacarepagua,
jardim anhanga,34.7
vila sao luis,86.18
ferradura,132.72
jardim primavera,108.01
rio do ouro,18.17
mutando,
cidade de deus,20.0
agua santa,15.53
itaipu,14.14
taquara-jacarepagua,14.63
sulacap,23.97
turiacu,20.56
colégio,21.37
niteroi,9.1
vista alegre,20.44
santa catarina,55.45
santa eugenia,38.21
vila nova,33.94
maria paula,16.37
edson passos,31.44
campinho,19.96
vigario geral,21.63
inga,7.34
freguesia - jacarepagua,17.93
freguesia  jacarepagua,17.93
varzea,63.47
lins,12.73
praia brava,134.92
zumbi,14.73
piabeta,38.04
ufrrj,56.49
